FID,ET_ID,Lat,Lon
663,0,30.6092,-104.9639
664,0,30.6098,-104.9618
665,0,30.6098,-104.9614
666,0,30.6101,-104.9598
667,0,30.6101,-104.9589
668,0,30.6097,-104.9578
669,0,30.6097,-104.9578
670,0,30.608,-104.9542
671,0,30.6068,-104.954
672,0,30.6051,-104.9525
673,0,30.6052,-104.9524
674,0,30.6047,-104.9515
675,0,30.6045,-104.9503
676,0,30.6049,-104.9489
677,0,30.605,-104.9483
678,0,30.6029,-104.9442
679,0,30.6041,-104.9411
680,0,30.6042,-104.9403
681,0,30.6041,-104.9396
682,0,30.6044,-104.9384
683,0,30.6052,-104.9374
684,0,30.6056,-104.937
685,0,30.6061,-104.9357
686,0,30.6061,-104.9357
687,0,30.6046,-104.9347
688,0,30.6034,-104.9345
689,0,30.6012,-104.9346
690,0,30.6002,-104.9343
691,0,30.5999,-104.9338
692,0,30.5992,-104.932
693,0,30.5992,-104.931
694,0,30.5985,-104.9305
695,0,30.5994,-104.9299
696,0,30.6001,-104.9289
697,0,30.6021,-104.9281
698,0,30.6045,-104.927
699,0,30.6045,-104.9269
700,0,30.6035,-104.9224
701,0,30.5912,-104.9205
702,0,30.5908,-104.9201
703,0,30.5899,-104.9207
704,0,30.589,-104.9205
705,0,30.5889,-104.9204
706,0,30.5861,-104.919
707,0,30.5857,-104.9184
708,0,30.5857,-104.9183
709,0,30.5854,-104.9173
710,0,30.5854,-104.9165
711,0,30.5859,-104.9149
712,0,30.5849,-104.9098
713,0,30.582,-104.9076
714,0,30.5805,-104.9072
715,0,30.5799,-104.9072
716,0,30.5783,-104.9069
717,0,30.5772,-104.9062
718,0,30.5765,-104.904
719,0,30.5762,-104.9039
720,0,30.5754,-104.9028
721,0,30.5705,-104.8992
722,0,30.5653,-104.8987
723,0,30.5541,-104.8977
724,0,30.5511,-104.8937
725,0,30.551,-104.8937
726,0,30.5501,-104.8927
727,0,30.5502,-104.8926
728,0,30.5502,-104.8924
729,0,30.5488,-104.8906
730,0,30.5483,-104.8899
731,0,30.5475,-104.8905
732,0,30.5462,-104.8904
733,0,30.5463,-104.8894
734,0,30.5471,-104.8882
735,0,30.5466,-104.8876
736,0,30.5427,-104.8882
737,0,30.5425,-104.8883
738,0,30.5413,-104.8901
739,0,30.5406,-104.8904
740,0,30.5384,-104.8901
741,0,30.5361,-104.889
742,0,30.535,-104.8892
743,0,30.5328,-104.8854
744,0,30.5298,-104.8803
745,0,30.5246,-104.8827
746,0,30.5261,-104.8838
747,0,30.5254,-104.8855
748,0,30.5244,-104.8849
749,0,30.5233,-104.8833
750,0,30.5198,-104.8849
751,0,30.5181,-104.8857
752,0,30.518,-104.8849
753,0,30.5172,-104.8842
754,0,30.5165,-104.8827
755,0,30.5164,-104.8808
756,0,30.5166,-104.8806
757,0,30.5165,-104.8791
758,0,30.5163,-104.8787
759,0,30.5147,-104.8791
760,0,30.5135,-104.8796
761,0,30.5129,-104.8795
762,0,30.511,-104.8773
763,0,30.5108,-104.8771
764,0,30.5108,-104.8767
765,0,30.5107,-104.8766
766,0,30.5108,-104.8764
767,0,30.5108,-104.8761
768,0,30.5116,-104.8752
769,0,30.5121,-104.875
770,0,30.5136,-104.8733
771,0,30.5136,-104.8733
772,0,30.4954,-104.8739
773,0,30.4954,-104.8737
774,0,30.4953,-104.8737
775,0,30.4944,-104.8724
776,0,30.4943,-104.8712
777,0,30.4942,-104.8698
778,0,30.4944,-104.8685
779,0,30.494,-104.8665
780,0,30.48,-104.8718
781,0,30.4678,-104.8659
782,0,30.4648,-104.8662
783,0,30.4641,-104.8674
784,0,30.4622,-104.8679
785,0,30.4601,-104.8678
786,0,30.4593,-104.8686
787,0,30.4587,-104.8688
788,0,30.4553,-104.8683
789,0,30.4537,-104.8673
790,0,30.4536,-104.8672
791,0,30.442,-104.8682
792,0,30.4419,-104.8679
793,0,30.4415,-104.8681
794,0,30.4412,-104.8665
795,0,30.438,-104.8596
796,0,30.4367,-104.8593
797,0,30.4344,-104.8592
798,0,30.4264,-104.8615
799,0,30.4221,-104.8561
800,0,30.4216,-104.856
801,0,30.4212,-104.855
802,0,30.4203,-104.8539
803,0,30.4189,-104.8522
804,0,30.4195,-104.8509
805,0,30.4192,-104.8501
806,0,30.4188,-104.849
807,0,30.4183,-104.8484
808,0,30.4178,-104.8479
809,0,30.4146,-104.8479
810,0,30.4144,-104.8482
811,0,30.4139,-104.8509
812,0,30.4133,-104.853
813,0,30.411,-104.8555
814,0,30.4095,-104.8565
815,0,30.4087,-104.8567
816,0,30.4083,-104.8574
817,0,30.4015,-104.8547
818,0,30.4002,-104.8546
819,0,30.3999,-104.8547
820,0,30.3998,-104.8546
821,0,30.3904,-104.8592
822,0,30.3896,-104.8581
823,0,30.3896,-104.8581
824,0,30.3846,-104.8527
825,0,30.3846,-104.8515
826,0,30.3808,-104.8465
827,0,30.3799,-104.8459
828,0,30.3785,-104.8441
829,0,30.3772,-104.8417
830,0,30.3739,-104.8373
831,0,30.374,-104.8344
832,0,30.3737,-104.8332
833,0,30.3742,-104.8315
